                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.0923,                 6.0179,                0.33687,                0.98467,                 1.4316,                0.87474,                0.74825,                0.83332,                0.48557,                0.31526,                0.26836,                0.15828,                 0.0242,                 1.4473,                 6.2635,                0.10903,                 1.0339,                 1.9752,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0929,                 6.0073,                0.34742,                 1.0276,                 1.4321,                0.86162,                0.81997,                 0.8722,                0.54536,                0.33454,                0.24851,                 0.1912,                0.02748,                 1.3721,                 6.1407,                0.14289,                0.93654,                 1.8645,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0727,                 5.9667,                0.34054,                0.91381,                 1.3939,                0.90075,                0.78059,                0.87928,                0.53672,                 0.3205,                0.25087,                0.16071,                0.02574,                 1.4341,                 6.1243,                0.14196,                0.96781,                 1.9257,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0737,                 5.7595,                0.33039,                0.97023,                 1.4067,                0.83527,                0.79377,                0.83989,                0.49302,                0.26589,                0.21853,                0.13071,                0.02071,                 1.5087,                 6.2561,                0.10757,                0.99712,                 1.9929,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0615,                  5.864,                0.33695,                0.95326,                 1.3825,                0.87686,                0.77486,                0.87398,                0.50483,                0.32751,                0.25469,                0.16809,                0.03331,                 1.4499,                 6.0336,                0.09468,                0.95542,                 1.9762,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0762,                 5.7809,                0.34777,                0.97028,                 1.4061,                0.87609,                0.78671,                0.83602,                0.47949,                0.33612,                0.26367,                0.16403,                0.04125,                 1.5178,                 5.9737,                0.10904,                0.99051,                 2.0402,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.0815,                 5.7888,                0.33071,                0.97431,                  1.399,                0.77747,                0.85394,                0.87054,                0.52714,                0.34856,                0.21329,                0.13956,                0.02907,                 1.4103,                 5.9913,                0.11671,                0.87642,                 1.9305,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.0355,                 5.7628,                 0.3194,                0.92764,                 1.3649,                 0.7819,                0.82952,                 0.8524,                0.54269,                0.24939,                0.21503,                0.09308,                0.01742,                 1.4386,                 6.1648,                 0.0988,                0.95688,                 1.9515,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.0283,                 5.6264,                0.31357,                0.93243,                 1.3578,                0.88694,                0.84139,                0.88073,                0.53896,                0.31578,                0.27185,                0.16425,                0.02771,                 1.3698,                 6.1578,                0.09904,                0.93427,                 1.8858,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.0547,                 5.7887,                0.30581,                 0.9318,                 1.3688,                0.89088,                 0.8243,                0.88221,                0.55226,                0.31614,                0.26472,                0.13449,                0.02277,                 1.3873,                 6.0116,                0.10178,                0.98032,                 1.8814,             0.00070981,             0.00070981,             0.00070981
